Sample,Region,Location,Host,Sym9,,Sym11,,Sym14,,Sym17,,Sym34,,Sym66,,Sym93,,Sym92,,Sym67,,Sym82,,Sym87,,Sym88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_257,CAR,Curaçao,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_258,CAR,Curaçao,Orbicella annularis,106,109,0,0,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_259,CAR,Curaçao,Orbicella faveolata,106,109,151,153,0,0,141,143,385,387,294,294,149,161,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_269,CAR,Curaçao,Siderastrea siderea,106,109,0,0,0,0,141,143,385,387,294,294,151,151,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR14_279,CAR,Curaçao,Siderastrea siderea,106,109,151,153,177,179,141,143,385,387,294,294,151,151,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONT_3,CAR,Florida Keys,Orbicella faveolata,106,109,151,153,177,179,0,0,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONT_5,CAR,Florida Keys,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,237,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM05_mf1,CAR,Mexico,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM05_mf3,CAR,Mexico,Orbicella faveolata,106,109,151,153,177,179,141,145,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM05_mf5,CAR,Mexico,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM05_mf6,CAR,Mexico,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,237,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM05_mf7,CAR,Mexico,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,237,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM05_mf8A,CAR,Mexico,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,0,0,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
