Sample,pS.trenchii,pS.glynnii
LAP08_116,0.024652721,0.975347279
LAP08_117,0.028225245,0.971774755
LAP08_120,0.024652721,0.975347279
LAP08_121,0.019464942,0.980535058
LAP08_122,0.036131117,0.963868883
LAP08_123,0.024652721,0.975347279
LAP08_124,0.024652721,0.975347279
LAP08_125,0.024652721,0.975347279
LAP08_126,0.024652721,0.975347279
LAP08_127,0.024652721,0.975347279
LAP08_128,0.024280561,0.975719439
LAP08_129,0.024652721,0.975347279
LAP08_130,0.024652721,0.975347279
LAP08_131,0.024652721,0.975347279
LAP08_132,0.024652721,0.975347279
LAP08_133,0.024652721,0.975347279
LAP08_134,0.024652721,0.975347279
LAP08_135,0.024652721,0.975347279
LAP08_136,0.024652721,0.975347279
LAP08_137,0.024652721,0.975347279
LAP08_138,0.024652721,0.975347279
LAP08_139,0.024652721,0.975347279
LAP08_140,0.024652721,0.975347279
LAP08_141,0.024652721,0.975347279
LAP08_142,0.024652721,0.975347279
LAP08_143,0.024652721,0.975347279
LAP08_144,0.024652721,0.975347279
LAP08_145,0.024652721,0.975347279
LAP08_146,0.024652721,0.975347279
LAP09_100,0.024652721,0.975347279
LAP09_17,0.022100713,0.977899287
LAP09_18,0.022100713,0.977899287
LAP09_184,0.017456286,0.982543714
LAP09_185,0.017456286,0.982543714
LAP09_186,0.017056186,0.982943814
LAP09_187,0.017456286,0.982543714
LAP09_188,0.017456286,0.982543714
LAP09_189,0.017456286,0.982543714
LAP09_19,0.024280561,0.975719439
LAP09_190,0.024652721,0.975347279
LAP09_191,0.017456286,0.982543714
LAP09_192,0.017456286,0.982543714
LAP09_194,0.017456286,0.982543714
LAP09_195,0.017456286,0.982543714
LAP09_196,0.017456286,0.982543714
LAP09_197,0.017456286,0.982543714
LAP09_198,0.017877517,0.982122483
LAP09_199,0.017456286,0.982543714
LAP09_20,0.022100713,0.977899287
LAP09_200,0.024280561,0.975719439
LAP09_202,0.024652721,0.975347279
LAP09_203,0.017456286,0.982543714
LAP09_204,0.017056186,0.982943814
LAP09_205,0.017056186,0.982943814
LAP09_206,0.018572021,0.981427979
LAP09_207,0.023888441,0.976111559
LAP09_208,0.017456286,0.982543714
LAP09_209,0.017456286,0.982543714
LAP09_21,0.022100713,0.977899287
LAP09_210,0.017456286,0.982543714
LAP09_211,0.017456286,0.982543714
LAP09_212,0.017456286,0.982543714
LAP09_214,0.017456286,0.982543714
LAP09_215,0.017056186,0.982943814
LAP09_216,0.017056186,0.982943814
LAP09_217,0.017456286,0.982543714
LAP09_218,0.017456286,0.982543714
LAP09_22,0.022464162,0.977535838
LAP09_220,0.017456286,0.982543714
LAP09_221,0.017485186,0.982514814
LAP09_222,0.017056186,0.982943814
LAP09_223,0.018572021,0.981427979
LAP09_224,0.017456286,0.982543714
LAP09_225,0.017456286,0.982543714
LAP09_226,0.024652721,0.975347279
LAP09_227,0.017056186,0.982943814
LAP09_228,0.017056186,0.982943814
LAP09_229,0.017456286,0.982543714
LAP09_23,0.024280561,0.975719439
LAP09_230,0.017456286,0.982543714
LAP09_231,0.024652721,0.975347279
LAP09_232,0.022100713,0.977899287
LAP09_233,0.022100713,0.977899287
LAP09_234,0.017056186,0.982943814
LAP09_235,0.024652721,0.975347279
LAP09_236,0.017456286,0.982543714
LAP09_237,0.022651976,0.977348024
LAP09_238,0.017056186,0.982943814
LAP09_239,0.017056186,0.982943814
LAP09_24,0.024652721,0.975347279
LAP09_240,0.017456286,0.982543714
LAP09_241,0.017456286,0.982543714
LAP09_242,0.017456286,0.982543714
LAP09_243,0.017056186,0.982943814
LAP09_25,0.024652721,0.975347279
LAP09_26,0.024652721,0.975347279
LAP09_27,0.022100713,0.977899287
LAP09_28,0.022100713,0.977899287
LAP09_29,0.022100713,0.977899287
LAP09_30,0.025996557,0.974003443
LAP09_31,0.021616079,0.978383921
LAP09_32,0.017056186,0.982943814
LAP09_33,0.024652721,0.975347279
LAP09_34,0.017056186,0.982943814
LAP09_35,0.025577452,0.974422548
LAP09_61,0.024652721,0.975347279
LAP09_62,0.024652721,0.975347279
LAP09_63,0.024280561,0.975719439
LAP09_64,0.023843428,0.976156572
LAP09_65,0.024652721,0.975347279
LAP09_69,0.022464162,0.977535838
LAP09_70,0.022100713,0.977899287
LAP09_71,0.026394317,0.973605683
LAP09_72,0.022464162,0.977535838
LAP09_73,0.022651976,0.977348024
LAP09_74,0.024652721,0.975347279
LAP09_76,0.024652721,0.975347279
LAP09_77,0.022464162,0.977535838
LAP09_78,0.023843428,0.976156572
LAP09_79,0.021766212,0.978233788
LAP09_81,0.025996557,0.974003443
LAP09_82,0.024652721,0.975347279
LAP09_83,0.024652721,0.975347279
LAP09_84,0.024652721,0.975347279
LAP09_85,0.024280561,0.975719439
LAP09_86,0.024280561,0.975719439
LAP09_87,0.024652721,0.975347279
LAP09_88,0.021616079,0.978383921
LAP09_89,0.022100713,0.977899287
LAP09_90,0.025577452,0.974422548
LAP09_91,0.023888441,0.976111559
LAP09_92,0.017056186,0.982943814
LAP09_93,0.022464162,0.977535838
LAP09_94,0.022100713,0.977899287
LAP09_95,0.022464162,0.977535838
LAP09_96,0.025577452,0.974422548
LAP09_97,0.024652721,0.975347279
LAP09_98,0.022309326,0.977690674
MC3_t0,0.050161663,0.949838337
MC3_t4,0.283610374,0.716389626
MC5_t0,0.050161663,0.949838337
MC5_t4,0.04427648,0.95572352
PG1_1,0.026621023,0.973378977
PG1_11,0.022464162,0.977535838
PG1_16,0.021766212,0.978233788
PG1_17,0.022464162,0.977535838
PG1_18,0.023843428,0.976156572
PG1_19,0.024652721,0.975347279
PG1_2,0.024652721,0.975347279
PG1_20,0.024652721,0.975347279
PG1_21,0.018572021,0.981427979
PG1_22,0.024652721,0.975347279
PG1_3,0.022100713,0.977899287
PG1_4,0.026185093,0.973814907
PG1_5,0.022464162,0.977535838
PG1_6,0.022651976,0.977348024
PG1_7,0.022464162,0.977535838
PG1_8,0.024652721,0.975347279
PG1_9,0.022100713,0.977899287
PG2_1,0.024652721,0.975347279
PG2_10,0.024652721,0.975347279
PG2_11,0.024652721,0.975347279
PG2_12,0.017056186,0.982943814
PG2_13,0.017056186,0.982943814
PG2_14,0.024652721,0.975347279
PG2_15,0.022309326,0.977690674
PG2_18,0.018572021,0.981427979
PG2_19,0.024652721,0.975347279
PG2_2,0.017056186,0.982943814
PG2_3,0.022464162,0.977535838
PG2_4,0.025996557,0.974003443
PG2_5,0.017056186,0.982943814
PG2_6,0.024652721,0.975347279
PG2_7,0.021616079,0.978383921
PG2_9,0.017056186,0.982943814
PG3_1,0.024652721,0.975347279
PG3_10,0.032733243,0.967266757
PG3_11,0.021616079,0.978383921
PG3_12,0.024652721,0.975347279
PG3_14,0.017056186,0.982943814
PG3_16,0.024652721,0.975347279
PG3_19,0.022809133,0.977190867
PG3_2,0.022464162,0.977535838
PG3_20,0.024652721,0.975347279
PG3_21,0.024652721,0.975347279
PG3_22,0.021616079,0.978383921
PG3_23,0.022100713,0.977899287
PG3_24,0.04158942,0.95841058
PG3_3,0.022651976,0.977348024
PG3_5,0.024280561,0.975719439
PG3_7,0.022464162,0.977535838
PG3_8,0.021616079,0.978383921
PG3_BL13,0.021616079,0.978383921
PG3_BL18B,0.022809133,0.977190867
PG3_BL19,0.022100713,0.977899287
PG3_BL3,0.021616079,0.978383921
PG3_BL7,0.022100713,0.977899287
PG3_BL9,0.024652721,0.975347279
SPA_119,0.035343971,0.964656029
SPA68_sw11,0.188413396,0.811586604
SPA69_sw12,0.05010502,0.94989498
SPA71_sw14,0.076011404,0.923988596
SPA72_sw15,0.076157764,0.923842236
PA09_1,0.017056186,0.982943814
PA09_10,0.019596882,0.980403118
